page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
gesundheitsberichterstattung-berlin-kontext-basisbericht-gbe-berlin-20062007,,,,,,,,,,,,,,,,,1,3,2,3,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,15
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122007,,,,,,,,,,,,,,1,2,2,2,,,,1,1,2,,,,,,,,,5,1,10,2,,5,3,3,2,1,1,,1,2,3,1,3,,2,,,,3,1,2,,,,,,,62
gesundheitsberichterstattung-berlin-umweltbezogener-gesundheitsschutz-und-2,,,,,,,,,,,4,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,,1,1,,1,2,,1,1,2,,2,1,1,3,1,,2,,,,,,,29
berliner-weihnachtsmÃ¤rkte-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,2,,,,,,,5
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122004,,,,,,,,,,,,,,2,1,5,2,,,,2,2,1,,,,,,,,,,1,1,2,,3,1,2,1,2,,1,1,,1,1,3,,2,,,,1,1,2,,,,,,,41
liste-der-häufigen-vornamen-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3
wasserschutzgebiete-2009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,4,,,,3,1,2,2,4,1,4,1,8,,6,2,3,1,2,,,,,,,53
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-2,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,4,1,1,1,1,,,,,,,,,,3,1,1,,,,1,,2,,,,,,,18
wohnatlas-berlin-anteil-der-einwohner-mit-mind-einjähriger-wohndauer-2009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,3
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122013,,,,,,,,,,,,,,3,4,3,11,6,9,9,6,8,9,,,,7,1,4,1,2,2,,2,2,,1,6,,,,1,,1,1,1,1,4,,1,2,2,2,,2,2,,,,,,,116
wohnatlas-berlin-anteil-der-einwohner-mit-mind-5-jähriger-wohndauer-2004-2009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,4
versiegelung-2011-unkorrigierte-versiegelungsgrade-rasterdaten-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-381-rentenzugänge-wegen,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,2,,,,,,,6
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122011,,,,,,,,,,,,,,1,,3,2,,,,,6,2,,,,,,,1,,1,2,,2,,2,4,4,1,1,1,,2,,1,1,3,3,2,1,,1,,3,2,,,,,,,52
lapro-grundlagen-zielartenverbreitung-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,,,,,,7
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-16,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,3,,,,1,,1,,1,1,,,,5,1,1,,,,,,2,,,,,,,19
summenlast-nicht-leistungsgemessene-kunden-2014-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
liste-der-badestellen-badegew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
standardlastprofil-wärmepumpe-2012-berlin,,,,,,2,5,5,4,1,1,1,,1,2,1,1,6,,2,,1,1,,1,1,,,,,,,,1,4,2,,5,1,1,2,2,,3,,,,,,,,,,1,2,1,,,,,,,61
geologische-skizze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,1,1,3,3,1,1,1,2,1,1,1,,,,,,,25
nährstoffspeicher-schadstoffbindungsvermögen-der-böden-2010-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-krankheiten-des-0,,,,,,,,,,,1,1,,1,,,,1,1,3,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,13
strat-lärmkarte-fassadenpegel-gesamtlärm-ln-nacht-2012-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,1,,,,,,,6
historie-ab-2008-jahreshöchstlast-der-netzlast-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,3
gesundheitsberichterstattung-berlin-kontext-basisbericht-gbe-berlin-20122013,,,,,,,,,,,,,,,,,,,,,2,8,3,4,2,6,5,,2,,,,2,3,3,,,,,,,3,,2,,,,,1,2,,,1,,,1,,,,,,,50
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-1,,,,,,,,,,,,,,1,,1,5,,2,1,1,2,1,,,2,1,,1,,,,,,,,1,2,1,5,5,1,,1,1,1,1,3,,2,,,,,,1,,,,,,,43
gesundheitsberichterstattung-berlin-ausgaben-und-finanzierung-indikatoren-zur-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,4
summenlast-fahrplanprognosen-der-slp-kunden-2012-berlin,,,3,4,9,,1,1,6,2,1,,,,,1,2,,,,,,1,,,,,,,,2,1,,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,38
gesundheitsberichterstattung-berlin-gesundheitsindikator-359-meldepflichtige,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4
wohnräume-2014-lor-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,1,4,1,,,,,,,16
kindertagesst%C3%83%C2%A4tten-marzahn-hellersdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-57-belastung-des-trinkwassers,,,,,,,,,,,,,,2,,,,,1,1,,,,,,1,,,,,1,1,,,2,3,1,2,,,2,,,,,,,,,,,,,,,1,,,,,,,18
entwicklung-luftqualität-pm25-gesamtemissionen-20082009-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-45-durchschnittliches-alter-der,,,,,,,,,,,,,,,2,,1,,2,2,,,,4,,1,,,,1,,2,,,,,,,,,2,,,,,,,1,3,1,2,,3,1,,1,,,,,,,29
nutzbare-feldkapazität-der-böden-für-flachwurzler-2010-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
bodenarten-2010-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,2
strat-lärmkarte-fassadenpegel-lärmbeeinflußten-wohngebäuden-2012-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,1,1,,,,,,,11
tourismus-2016%5E%12%EF%BF%BDp%1A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
angebote-der-schulbezogenen-jugendarbeit-und-jugendsozialarbeit,18,11,11,6,11,8,9,4,4,6,7,6,7,9,9,4,10,15,10,5,6,22,6,12,5,6,3,10,2,4,8,2,,1,4,6,8,5,5,4,2,6,3,1,,,,,,,,,,,1,1,,,,,,,303
brandenburger-weihnachtsmÃ¤rkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2
geometrien-der-wahlbezirke-für-die-wahl-zum-abgeordnetenhaus-von-berlin-und-zu-den,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,83,56,44,34,88,488,28,17,14,58,28,13,17,20,14,15,1,1,1,1,,,,,,,1082
digitale-farbige-orthophotos-2009-dop20rgb-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-735-von-ambulanten,,,,,,,,,,,,2,,1,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,3,1,2,,1,,,,,,,20
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2010-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,,,,,,,10
gesundheitsberichterstattung-berlin-kontext-bezirke-sonderauswertung-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,1,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-357-befunde-bei,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-727-bettenauslastung-und,,,,,,,,,,,,1,3,6,,,,,,,3,2,1,7,4,1,,,,1,2,1,1,5,1,,3,1,,,1,,,3,,,,,,,,,,,,1,,,,,,,48
lebensraumfunktion-für-naturnahe-seltene-pflanzengesellschaften-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,6
puffer-und-filterfunktion-der-böden-2010-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,3
differenzbilanzierung-2013-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122009,,,,,,,,,,,,,,4,1,2,1,,,,,,,,,,2,,4,,1,2,,1,1,,1,3,,,,1,1,1,1,,1,4,,1,,,,1,1,1,,,,,,,36
sanierungsgebiete-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,2,3,2,1,,4,1,3,4,1,7,3,2,,1,4,1,5,1,,,,,,,58
nicht-erwerbsf-empf-von-transferleistungen-u-15-jahren-2014lor-v-2-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2
sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empfängerinnen-und-1,,,,,,,,,,,,5,2,2,,,,,4,12,7,3,1,2,4,10,4,,2,2,3,5,2,1,9,4,4,6,9,4,3,,,,,,3,12,14,14,13,14,15,2,1,1,,,,,,,199
gesundheitsberichterstattung-berlin-bevölkerung-und-bevölkerungsspezifische-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,4,3,,3,,,,2,1,1,,,,,,,23
summenlast-der-netzverluste-2013-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,2
digitale-farbige-orthophotos-2004-dop25rgb-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,,,1,3,1,1,3,1,,,,,,,15
alkis-berlin-sw%20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-732-personaleinsatz-vorsorge,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
vbb-fahrplandaten-juni-2015-bis-dezember-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,160,179,87,22,24,5,7,27,9,3,8,2,,,,1,1,2,,,,,1,2,,,,,,1,,,,,,,541
summenlast-nicht-leistungsgemessene-kunden-2013-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,3
wohnatlas-berlin-umgewandelte-wohnungen-2005-2010-pro-1000-wohnungen-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,5
grundwassergleichen-des-hauptgrundwasserleiters-2015-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,2,6,,,,1,2,1,,,2,1,2,2,,,,,,1,,,,,,,37
vbb-fahrplandaten-februar-2017-bis-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,96,28,4,2,2,2,,1,1,,,,,,,176
"besuchszahlen-öffentlich-geförderten-berliner-kultureinrichtungen-2011-2014%20[1:06]%20diesen%20Datensatz%20muss%20man%20verarbeiten.%20Jeder%20Veranstaltungsort%20in%20Koordinaten%20überführen,%20Besucherzahl%20per%20Tag%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
gesundheitsberichterstattung-berlin-grundauswertungen-einschulungsuntersuchungen,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,2,4,2,,1,,,,,,,,1,2,,,,,,,,,1,,,,,,,15
gesundheitsberichterstattung-berlin-gesundheitsindikator-383-krankenhausfälle-infolge,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,2,1,,,,,1,1,,,,,,,11
gesundheitsberichterstattung-berlin-gesundheitsindikator-321-die-häufigsten-diagnosen,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
haushaltsplan-berlin-2008,,,,2,1,,,,,,,,,,,1,2,,,,,2,1,1,6,1,,,,1,,1,,,,,1,2,,1,1,,,,,,,,,1,,,1,,,1,,,,,,,27
berliner-und-brandenburger-volks-und-straßenfeste-2012,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5
gesundheitsberichterstattung-berlin-gesundheitsindikator-219-alleinerziehende-mit,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,3
jahresabschluss-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
vbb2011-routen-der-linien,14,7,17,20,8,6,7,13,7,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,114
gesundheitsberichterstattung-berlin-ausbildung-im-gesundheitswesen-auszubildende-im-0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
gesundheitsberichterstattung-berlin-gesundheitsindikator-3100-rentenzugänge-wegen,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,5
gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,,,,,,,7
preisblatt-netznutzung-berlin-ab-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,2,1,2,,,,,,,,,1,,,,,,,9
liste-der-hÃ¤ufigen-vornamen-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,1,,,,,,,5
gesundheitsberichterstattung-berlin-gesundheitsindikator-26-ausländische-bevölkerung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
kleingartenbestand-berlin-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,4,1,2,1,,,,1,1,3,2,2,3,,,,2,,1,,,,,,,32
gesundheitsberichterstattung-berlin-gesundheitsindikator-324-krankenhausfälle-nach,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,7
alkis-berlin-vegetation-linien-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,9,5,4,3,,,,,8,1,,,,,,,36
blockkarte-1-50000-isu50-raumbezug-umweltatlas-2010-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,,,,6
haushaltsplan-berlin-2009,5,5,3,1,1,,5,2,,,1,,,,,1,1,,,,,,,,4,2,,1,1,,,,,1,1,2,6,3,,,1,,,,1,2,1,1,,1,,,1,1,,1,,,,,,,56
wohnatlas-berlin-umgewandelte-wohnungen-2010-pro-1000-wohnungen-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,5
standardlastprofil-haushaltskunden-2012-berlin,,,6,3,2,5,7,4,14,3,2,2,,6,2,1,1,3,,2,,,,2,,3,,,,,,,,,,,1,3,,,,,,,,1,1,1,,1,,,,,2,1,,,,,,,79
gesundheitsberichterstattung-berlin-gesundheitsindikator-610-gesundheitseinrichtungen,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,,,,,3,3,,2,1,,,,,,,,2,1,,,3,,,,1,,2,1,1,1,,,,,,,29
digitale-farbige-trueorthophotos-2013-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,1,,,,,,,6
gesundheitsberichterstattung-berlin-umweltbezogener-gesundheitsschutz-und-1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,5
verweilzeit-des-sickerwassers-der-ungesättigten-zone-2003-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
netzgebietsdaten,,,6,2,5,5,4,1,,,,2,4,1,,2,2,2,2,2,2,1,3,,4,1,2,,2,1,1,1,,1,4,7,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,76
gesundheitsberichterstattung-berlin-gesundheitsindikator-391-krankenhausfälle-infolge,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
digitale-color-infrarot-orthophotos-2010-dop20cir-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,2,2,4,3,,,1,,,,,,,18
gesundheitsberichterstattung-berlin-kontext-bezirksprofile-berlin-2014,,,,,,,,,,,,,,,,5,11,3,6,2,1,2,1,2,,4,3,2,2,2,3,1,,,,,,,,1,1,,,,,,2,,1,1,,,,,,1,,,,,,,57
los122017-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,12,1,,,,,,,77
kamerale-monatsdaten-bezirk-lichtenberg-2014,,,,,,,,,,,42,15,12,5,3,30,33,29,15,3,26,8,7,5,3,3,3,5,1,,,2,,2,3,2,,1,,,,,,,,3,1,,,1,,,,,,1,,,,,,,264
los62018-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
standardlastprofil-gewerbekunden-2011-berlin,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,2,,1,1,,,,,,,12
gesundheitsberichterstattung-berlin-ausgaben-und-finanzierung-indikatoren-zur-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122013,,,,,,,,,,,,,,49,29,14,7,5,9,6,6,11,13,3,1,4,13,3,1,8,2,1,1,1,4,1,2,7,,,2,,3,1,,1,2,4,2,3,1,3,2,1,,1,,,,,,,227
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-4,,,,,,,,,,,,,,9,,3,1,,2,3,,5,1,,,,,,,,,,,,,,2,1,2,2,1,,,1,,6,2,1,1,1,,2,1,,1,1,,,,,,,49
einwohner-2011-zum-stichtag,127,105,106,24,32,19,47,30,24,29,29,44,21,2,1,6,2,7,2,2,,1,1,,,,1,,1,4,1,8,,,1,1,,1,1,1,1,3,5,1,,,,4,6,4,3,1,1,2,3,1,,,,,,,716
summe-einspeisung-hochspannung-2011-berlin,,,,,,,,,,,4,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,9
aktuelle-ausschreibungen-nach-vol-vob-vof-oder-für-interessenbekundungsverfahren-0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,13,58,27,20,19,23,10,6,1,2,12,3,3,,,,,,,,,,,,,,,1,,,,,,,221
versiegelung-2005-unkorrigierte-versiegelungsgrade-rasterdaten-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-387-einweisungen-nach-dem,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,9
alleinerziehende-haushalte-2014-lor-wms%20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
haushaltsplan-berlin-2011,44,17,37,32,28,9,27,5,4,2,3,,,,2,4,4,5,2,3,2,5,3,1,7,4,2,3,2,,,,,1,4,2,3,4,,,2,,,1,1,2,1,1,1,1,1,1,4,1,,1,,,,,,,289
gesundheitsberichterstattung-berlin-gesundheitsindikator-319-die-häufigsten-diagnosen,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,5
gesundheitsberichterstattung-berlin-kontext-gesundheitsmonitoring-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,55,23,28,22,33,,,,,,,,,,181
geometrien-der-wahlbezirke-berlin-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,73,36,85,22,,,,,,,,,,346
bruttoinlandsprodukt-berlin,23,26,21,28,18,33,18,20,14,23,21,10,7,5,4,10,9,13,18,28,33,68,75,36,19,14,21,11,7,8,10,19,17,24,24,24,24,12,12,8,16,22,19,15,11,19,8,19,23,20,9,15,12,,,,,,,,,,1023
berliner-wahlen-2011-vorläufiges-ergebnis-abgeordnetenhaus-und,38,46,26,32,26,34,10,11,3,7,8,2,4,1,4,1,1,,,,,,,,,,,,,,,,,1,1,1,2,4,,2,2,4,5,8,4,7,10,6,9,7,7,7,6,,,,,,,,,,347
nominale-und-reale-bruttowertschöpfung,6,10,15,19,5,8,14,13,4,8,7,5,8,10,7,9,7,7,3,6,4,6,4,6,4,6,6,15,2,5,7,5,9,5,11,4,1,12,12,2,5,5,4,4,4,8,4,5,5,6,7,5,6,,,,,,,,,,365
willkommen-im-leben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,16,8,7,4,5,,,,,,,,,,71
fnp-flächennutzungsplan-berlin-stand-2009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,1,2,,1,1,,3,1,4,4,,,,1,6,4,,,,,,,,,,35
alkis-berlin-relief-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,5,4,5,3,6,2,1,4,,,,,,,,,,37
fnp-flächennutzungsplan-berlin-stand-2009-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,2,,2,2,2,,2,,6,3,6,3,2,2,2,3,,,,,,,,,,42
arbeitslosenanteil-2014-lor-v2-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,,,,,,,,,,9
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung,,,,,,,,,,,1,,,,,,,,,,,,,,1,5,7,3,5,,,,,8,10,,,,,1,2,,,,1,2,1,,,,4,,3,,,,,,,,,,54
gesundheitsberichterstattung-berlin-statistische-kurzinformationen-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,5
arbeitslosigkeit-aller-ziviler-erwerbspersonen-berlin-prozent-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,16,7,10,7,5,7,3,,,,,,,,,,88
gesundheitsberichterstattung-berlin-gesundheitsindikator-343-schwerbehinderte-grad-der,,,,,,,,,,,,11,3,1,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,,,,,,,,,3,,,,,,,,,,26
